OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	Sub.species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
Cluster_168	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__sp.__JEL223	Rhizophydium	na	litter_saprotroph	algal_parasite	na	na	na	na	na
Cluster_188	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__sp.__JEL136	Rhizophydium	na	litter_saprotroph	algal_parasite	na	na	na	na	na
Cluster_220	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__sp.__MP8	Rhizophydium	na	litter_saprotroph	algal_parasite	na	na	na	na	na
Cluster_226	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Multi-affiliation	Rhizophydium	na	litter_saprotroph	algal_parasite	na	na	na	na	na
Cluster_256	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium__elyensis	Rhizophydium	na	litter_saprotroph	algal_parasite	na	na	na	na	na
Cluster_117	Fungi	Basidiomycota	undefined	Agaricomycetes	Boletales	Boletinellaceae	Phlebopus	Phlebopus__portentosus	Phlebopus	13	Saprotroph-Symbiotroph	Animal Pathogen	Brown Rot	Microfungus	Highly Probable	Insect symbiont	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM/not ECM); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)) ((as ECM))"
Cluster_100	Fungi	Zygomycota	Zoopagomycotina	undefined	Zoopagales	Sigmoideomycetaceae	Thamnocephalis	Thamnocephalis__sphaerospora	Thamnocephalis	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_245	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Multi-affiliation	Ophiocordyceps	13	Pathotroph-Symbiotroph	Animal Pathogen	NULL	Microfungus	Probable	Contains about 140 species that grow on insects (Kirk et al. 2008)	"Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_23	Fungi	Glomeromycota	undefined	Glomeromycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora__fennica	Ambispora	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_224	Fungi	Glomeromycota	undefined	Archaeosporomycetes	Archaeosporales	undefined	undefined	uncultured__Ambisporaceae	Archaeosporales	7	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
