sample.code	TOTAL	rank	sample.name	year.code	age.month	month.code	code	month	year	mesocosm	position	pool.code	corridor	cor.posi	replicate	position.code	plant
s001	14506	249	O-17-1P01-1_S57_L001	17	5	O	17O	october	2017	1P01	p1	1P01p1	1	1p1	1	patch	Trifolium
s002	11281	145	O-17-1P01-2_S59_L001	17	5	O	17O	october	2017	1P01	p1	1P01p1	1	1p1	2	patch	Trifolium
s003	15321	278	O-17-1P01-3_S61_L001	17	5	O	17O	october	2017	1P01	p1	1P01p1	1	1p1	3	patch	Trifolium
s004	17639	342	O-17-1P01-4_S63_L001	17	5	O	17O	october	2017	1P01	p2	1P01p2	1	1p2	4	patch	Trifolium
s005	9850	98	O-17-1P01-5_S50_L001	17	5	O	17O	october	2017	1P01	p2	1P01p2	1	1p2	5	patch	Trifolium
s006	7801	46	O-17-1P01-6_S52_L001	17	5	O	17O	october	2017	1P01	p2	1P01p2	1	1p2	6	patch	Trifolium
s007	14779	256	O-17-1P01-7_S94_L001	17	5	O	17O	october	2017	1P01	mb	1P01mb	1	1mb	7	mb	Brachypodium
s008	11383	148	O-17-1P01-8_S58_L001	17	5	O	17O	october	2017	1P01	mb	1P01mb	1	1mb	8	mb	Brachypodium
s009	18022	355	O-17-1P01-9_S60_L001	17	5	O	17O	october	2017	1P01	cor	1P01cor	1	1cor	9	cor	Trifolium
s010	21086	428	O-17-1P01-10_S62_L001	17	5	O	17O	october	2017	1P01	cor	1P01cor	1	1cor	10	cor	Trifolium
s011	20886	420	O-17-1P02-1_S155_L001	17	5	O	17O	october	2017	1P02	p1	1P02p1	1	1p1	1	patch	Trifolium
s012	33353	655	O-17-1P02-2_S157_L001	17	5	O	17O	october	2017	1P02	p1	1P02p1	1	1p1	2	patch	Trifolium
s013	28223	564	O-17-1P02-3_S159_L001	17	5	O	17O	october	2017	1P02	p1	1P02p1	1	1p1	3	patch	Trifolium
s014	8115	51	O-17-1P02-4_S146_L001	17	5	O	17O	october	2017	1P02	p2	1P02p2	1	1p2	4	patch	Trifolium
s015	20845	416	O-17-1P02-5_S148_L001	17	5	O	17O	october	2017	1P02	p2	1P02p2	1	1p2	5	patch	Trifolium
s016	20747	413	O-17-1P02-6_S150_L001	17	5	O	17O	october	2017	1P02	p2	1P02p2	1	1p2	6	patch	Trifolium
s017	7006	28	O-17-1P02-7_S152_L001	17	5	O	17O	october	2017	1P02	mb	1P02mb	1	1mb	7	mb	Brachypodium
s018	34904	675	O-17-1P02-8_S154_L001	17	5	O	17O	october	2017	1P02	mb	1P02mb	1	1mb	8	mb	Brachypodium
s019	28630	572	O-17-1P02-9_S156_L001	17	5	O	17O	october	2017	1P02	cor	1P02cor	1	1cor	9	cor	Trifolium
s020	69702	811	O-17-1P02-10_S158_L001	17	5	O	17O	october	2017	1P02	cor	1P02cor	1	1cor	10	cor	Trifolium
s021	25536	510	O-17-1P03-1_S111_L001	17	5	O	17O	october	2017	1P03	p1	1P03p1	1	1p1	1	patch	Trifolium
s022	20408	411	O-17-1P03-2_S98_L001	17	5	O	17O	october	2017	1P03	p1	1P03p1	1	1p1	2	patch	Trifolium
s023	5511	11	O-17-1P03-3_S100_L001	17	5	O	17O	october	2017	1P03	p1	1P03p1	1	1p1	3	patch	Trifolium
s024	25611	512	O-17-1P03-4_S102_L001	17	5	O	17O	october	2017	1P03	p2	1P03p2	1	1p2	4	patch	Trifolium
s025	17141	327	O-17-1P03-5_S104_L001	17	5	O	17O	october	2017	1P03	p2	1P03p2	1	1p2	5	patch	Trifolium
s026	20160	403	O-17-1P03-6_S106_L001	17	5	O	17O	october	2017	1P03	p2	1P03p2	1	1p2	6	patch	Trifolium
s027	15093	266	O-17-1P03-7_S108_L001	17	5	O	17O	october	2017	1P03	mb	1P03mb	1	1mb	7	mb	Brachypodium
s028	17699	346	O-17-1P03-8_S110_L001	17	5	O	17O	october	2017	1P03	mb	1P03mb	1	1mb	8	mb	Brachypodium
s029	26586	529	O-17-1P03-9_S112_L001	17	5	O	17O	october	2017	1P03	cor	1P03cor	1	1cor	9	cor	Trifolium
s030	20255	404	O-17-1P03-10_S113_L001	17	5	O	17O	october	2017	1P03	cor	1P03cor	1	1cor	10	cor	Trifolium
s031	10650	121	O-17-1P04-1_S136_L001	17	5	O	17O	october	2017	1P04	p1	1P04p1	1	1p1	1	patch	Trifolium
s032	30362	606	O-17-1P04-2_S138_L001	17	5	O	17O	october	2017	1P04	p1	1P04p1	1	1p1	2	patch	Trifolium
s033	22114	453	O-17-1P04-3_S140_L001	17	5	O	17O	october	2017	1P04	p1	1P04p1	1	1p1	3	patch	Trifolium
s034	55313	793	O-17-1P04-4_S142_L001	17	5	O	17O	october	2017	1P04	p2	1P04p2	1	1p2	4	patch	Trifolium
s035	17091	326	O-17-1P04-5_S144_L001	17	5	O	17O	october	2017	1P04	p2	1P04p2	1	1p2	5	patch	Trifolium
s036	15480	281	O-17-1P04-6_S145_L001	17	5	O	17O	october	2017	1P04	p2	1P04p2	1	1p2	6	patch	Trifolium
s037	23764	477	O-17-1P04-7_S147_L001	17	5	O	17O	october	2017	1P04	mb	1P04mb	1	1mb	7	mb	Brachypodium
s038	17382	336	O-17-1P04-8_S149_L001	17	5	O	17O	october	2017	1P04	mb	1P04mb	1	1mb	8	mb	Brachypodium
s039	16765	317	O-17-1P04-9_S151_L001	17	5	O	17O	october	2017	1P04	cor	1P04cor	1	1cor	9	cor	Trifolium
s040	31504	627	O-17-1P04-10_S153_L001	17	5	O	17O	october	2017	1P04	cor	1P04cor	1	1cor	10	cor	Trifolium
s041	12963	190	O-17-1P05-1_S87_L001	17	5	O	17O	october	2017	1P05	p1	1P05p1	1	1p1	1	patch	Trifolium
s042	16299	303	O-17-1P05-2_S91_L001	17	5	O	17O	october	2017	1P05	p1	1P05p1	1	1p1	2	patch	Trifolium
s043	35692	686	O-17-1P05-3_S119_L001	17	5	O	17O	october	2017	1P05	p1	1P05p1	1	1p1	3	patch	Trifolium
s044	19785	395	O-17-1P05-4_S121_L001	17	5	O	17O	october	2017	1P05	p2	1P05p2	1	1p2	4	patch	Trifolium
s045	17278	330	O-17-1P05-5_S123_L001	17	5	O	17O	october	2017	1P05	p2	1P05p2	1	1p2	5	patch	Trifolium
s046	8965	75	O-17-1P05-6_S93_L001	17	5	O	17O	october	2017	1P05	p2	1P05p2	1	1p2	6	patch	Trifolium
s047	18538	367	O-17-1P05-7_S127_L001	17	5	O	17O	october	2017	1P05	mb	1P05mb	1	1mb	7	mb	Brachypodium
s048	14847	260	O-17-1P05-8_S114_L001	17	5	O	17O	october	2017	1P05	mb	1P05mb	1	1mb	8	mb	Brachypodium
s049	21150	431	O-17-1P05-9_S116_L001	17	5	O	17O	october	2017	1P05	cor	1P05cor	1	1cor	9	cor	Trifolium
s050	42257	745	O-17-1P05-10_S194_L001	17	5	O	17O	october	2017	1P05	cor	1P05cor	1	1cor	10	cor	Trifolium
s051	8702	67	O-17-1P06-1_S6_L001	17	5	O	17O	october	2017	1P06	p1	1P06p1	0	0p1	1	patch	Trifolium
s052	8355	54	O-17-1P06-2_S8_L001	17	5	O	17O	october	2017	1P06	p1	1P06p1	0	0p1	2	patch	Trifolium
s053	11297	147	O-17-1P06-3_S10_L001	17	5	O	17O	october	2017	1P06	p1	1P06p1	0	0p1	3	patch	Trifolium
s054	5480	9	O-17-1P06-4_S12_L001	17	5	O	17O	october	2017	1P06	p2	1P06p2	0	0p2	4	patch	Trifolium
s055	12603	176	O-17-1P06-5_S14_L001	17	5	O	17O	october	2017	1P06	p2	1P06p2	0	0p2	5	patch	Trifolium
s056	9409	82	O-17-1P06-6_S16_L001	17	5	O	17O	october	2017	1P06	p2	1P06p2	0	0p2	6	patch	Trifolium
s057	13216	196	O-17-1P06-7_S17_L001	17	5	O	17O	october	2017	1P06	mb	1P06mb	0	0mb	7	mb	Brachypodium
s058	16020	296	O-17-1P06-8_S19_L001	17	5	O	17O	october	2017	1P06	mb	1P06mb	0	0mb	8	mb	Brachypodium
s059	23615	474	O-17-1P07-1_S120_L001	17	5	O	17O	october	2017	1P07	p1	1P07p1	0	0p1	1	patch	Trifolium
s060	23836	479	O-17-1P07-2_S122_L001	17	5	O	17O	october	2017	1P07	p1	1P07p1	0	0p1	2	patch	Trifolium
s061	28990	580	O-17-1P07-3_S124_L001	17	5	O	17O	october	2017	1P07	p1	1P07p1	0	0p1	3	patch	Trifolium
s062	23210	464	O-17-1P07-4_S126_L001	17	5	O	17O	october	2017	1P07	p2	1P07p2	0	0p2	4	patch	Trifolium
s063	29437	587	O-17-1P07-5_S128_L001	17	5	O	17O	october	2017	1P07	p2	1P07p2	0	0p2	5	patch	Trifolium
s064	12710	179	O-17-1P07-6_S129_L001	17	5	O	17O	october	2017	1P07	p2	1P07p2	0	0p2	6	patch	Trifolium
s065	17473	338	O-17-1P07-7_S131_L001	17	5	O	17O	october	2017	1P07	mb	1P07mb	0	0mb	7	mb	Brachypodium
s066	27187	544	O-17-1P07-8_S133_L001	17	5	O	17O	october	2017	1P07	mb	1P07mb	0	0mb	8	mb	Brachypodium
s067	10045	103	O-17-1P08-1_S21_L001	17	5	O	17O	october	2017	1P08	p1	1P08p1	0	0p1	1	patch	Trifolium
s068	14371	243	O-17-1P08-2_S23_L001	17	5	O	17O	october	2017	1P08	p1	1P08p1	0	0p1	2	patch	Trifolium
s069	9640	91	O-17-1P08-3_S25_L001	17	5	O	17O	october	2017	1P08	p1	1P08p1	0	0p1	3	patch	Trifolium
s070	23323	468	O-17-1P08-4_S27_L001	17	5	O	17O	october	2017	1P08	p2	1P08p2	0	0p2	4	patch	Trifolium
s071	18478	364	O-17-1P08-5_S29_L001	17	5	O	17O	october	2017	1P08	p2	1P08p2	0	0p2	5	patch	Trifolium
s072	15222	272	O-17-1P08-6_S31_L001	17	5	O	17O	october	2017	1P08	p2	1P08p2	0	0p2	6	patch	Trifolium
s073	16176	298	O-17-1P08-7_S18_L001	17	5	O	17O	october	2017	1P08	mb	1P08mb	0	0mb	7	mb	Brachypodium
s074	7619	38	O-17-1P08-8_S20_L001	17	5	O	17O	october	2017	1P08	mb	1P08mb	0	0mb	8	mb	Brachypodium
s075	14205	236	O-17-1P09-1_S82_L001	17	5	O	17O	october	2017	1P09	p1	1P09p1	0	0p1	1	patch	Trifolium
s076	16219	301	O-17-1P09-2_S84_L001	17	5	O	17O	october	2017	1P09	p1	1P09p1	0	0p1	2	patch	Trifolium
s077	17934	353	O-17-1P09-3_S86_L001	17	5	O	17O	october	2017	1P09	p1	1P09p1	0	0p1	3	patch	Trifolium
