number	OUT	blast_taxonomy	blast_subject	blast_perc_identity	order	class	famlily	genus	Trophic.mode	Guild	Growth.form	Trait
1	Cluster_1	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
2	Cluster_2	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
3	Cluster_4	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
4	Cluster_6	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
5	Cluster_12	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
6	Cluster_5	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
7	Cluster_3	Eukaryota	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
8	Cluster_7	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Trechisporales	Trechisporaceae	N.R	N.R	N.R	
9	Cluster_13	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Saprotroph-Symbiotroph	Endophyte-Saprotroph	Microfungus	
10	Cluster_10	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
11	Cluster_11	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Agaricaceae	Saprotroph	Saprotroph	Agaricoid-Gasteroid-Secotioid	
12	Cluster_14	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
13	Cluster_16	Eukaryota	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
14	Cluster_18	Eukaryota	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
15	Cluster_15	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Saprotroph-Symbiotroph	Ectomycorrhizal	Gasteroid-Pezizoid	
16	Cluster_19	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
17	Cluster_17	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
18	Cluster_21	Eukaryota	Fungi	Basidiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
19	Cluster_20	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
20	Cluster_53	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Saprotroph	Saprotroph	Microfungus	
21	Cluster_22	Eukaryota	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
22	Cluster_29	Eukaryota	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
23	Cluster_23	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Archaeosporales	Ambisporaceae	N.R	N.R	N.R	
24	Cluster_24	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	N.R	N.R	N.R	
25	Cluster_34	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
26	Cluster_26	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Saprotroph	Saprotroph		Brown Rot; White Rot
27	Cluster_28	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	Symbiotroph	Arbuscular Mycorrhizal		
28	Cluster_36	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	undefined	Multi-affiliation	N.R	N.R	N.R	
29	Cluster_31	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Loramycetaceae	N.R	N.R	N.R	
30	Cluster_47	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
31	Cluster_32	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Marasmiaceae	Pathotroph-Saprotroph-Symbiotroph	Plant Pathogen	Agaricoid	
32	Cluster_33	Eukaryota	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
33	Cluster_50	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Scutellosporaceae	N.R	N.R	N.R	
34	Cluster_37	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
35	Cluster_35	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Sebacinales	Sebacinaceae	Symbiotroph	Ectomycorrhizal	Coralloid	
36	Cluster_38	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Pathotroph-Saprotroph	Pathotroph-Saprotroph	Microfungus	
37	Cluster_42	Eukaryota	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
38	Cluster_41	Eukaryota	Fungi	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	Symbiotroph	Arbuscular Mycorrhizal	Microfungus	
39	Cluster_51	Eukaryota	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	N.R	N.R	N.R	
40	Cluster_63	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
41	Cluster_46	Eukaryota	Fungi	Basidiomycota	Pucciniomycotina	undefined	Helicobasidiales	undefined	N.R	N.R	N.R	
42	Cluster_48	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
43	Cluster_49	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Auriculariaceae	Pathotroph-Saprotroph	Saprotroph	Auriculariod	
44	Cluster_54	Eukaryota	Fungi	Ascomycota	undefined	undefined	undefined	undefined	N.R	N.R	N.R	
45	Cluster_101	Eukaryota	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Pathotroph-Saprotroph	Pathotroph-Saprotroph	Microfungus	
46	Cluster_60	Eukaryota	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Exidiaceae	N.R	N.R	N.R	
47	Cluster_62	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
48	Cluster_55	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	N.R	N.R	N.R	
